"Newsletters", "Contact Preferences"
"Account Information", "My Account"
"Newsletter Subscriptions", "Contact Preferences"
"Newsletter Subscription", "Contact Preferences"
"Stored Payment Methods", "My Saved Credit Cards"
"You have no stored payment methods.", "You have no saved credit cards."
"My Subscriptions","My Scheduled Orders"
"You have created no subscriptions.","You do not have any scheduled orders at this time."
"Stored Payment Method was successfully removed","Stored Credit Card was successfully removed"
"Request Qty","Ordered Qty"
"Print Order # %1","#%1"
"Shipping & Handling", "Shipping"
"Contact Email Address", "Optional Alternate Email"
"You have signed out and will go to our homepage in 5 seconds.","You have logged out and will go to our homepage in 5 seconds."
"You saved the account information.","You account information has been updated."
"The coupon code isn't valid. Verify the code and try again.","Coupon code is not valid"
"We have saved your subscription.","You have selected to receive emails."
"We have removed your newsletter subscription.","You have selected not to receive emails."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, click 'Forgot Password' and access your account."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Invalid login or password. Please click “Forgot Password” to reset your password to access your account."
